,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,class
106,5.75580842316354,5.42238549164097,4.61085475544608,27.3856736858511,4.53269399959958,5.11395510733613,6.57767766612113,5.84487244978037,29.386614035623,5.36946438543818,3
107,4.04746502443042,4.99058602484685,5.20736347296946,5.32404092857552,16.1853369189463,4.67355377836949,4.97979421412896,5.26006649510673,44.4793697795112,4.85242336311498,2
108,5.82468926807211,6.03471309082877,6.01693279762946,6.21111411525606,22.7449877385802,5.61736833973676,6.29123418905789,5.89259438795946,29.9430981961696,5.42326787670962,0
109,7.45288875243169,7.0048449774363,7.09491274967151,17.6492157212869,10.7032924126005,6.98298543278431,6.74875449343428,6.529831395569,23.10942352524,6.72385053954547,3
110,4.66834992470008,5.2239684341118,5.23691930716392,8.94456745430216,17.4376206311484,4.44618268851786,5.26716806979305,5.51365351070408,38.2510013069057,5.01056867265294,2
111,4.9726847473105,5.18313275913062,5.76219611893386,5.81404231886202,16.0017818520165,4.85063422002868,5.92064541685385,5.37351738422148,40.7531447112214,5.36822047142108,2
112,5.85163438763165,4.44338828954833,5.98439822117527,39.9734022804441,15.0816766070169,6.12841965269164,5.53599080211645,5.73741352602212,6.00433742533189,5.2593388080217,1
113,6.73615408644294,6.74853753338726,7.10531240487817,9.04011085905774,17.191753137009,6.72060090608984,7.20392440868662,7.20159732611128,25.3120035547986,6.74000578353858,0
114,8.28303728715617,7.52481020621735,7.86426238970676,7.62338763840132,17.6687898630157,7.04171930548682,8.12055913654185,8.19979549663104,19.7386471801582,7.93499149668485,0
115,4.36629873311233,4.02406516829794,4.71555414885797,43.4255989491491,4.36920440343496,3.62218093223166,4.37480336209873,4.45085599515842,22.2857988196979,4.365639487961,1
116,6.26090747602635,6.19482325488591,6.5481935717382,7.66689221019642,21.1824957135759,6.06574395277805,6.35308209549693,6.70020913369468,27.0601370775815,5.96751551402606,0
117,6.052959019159,6.18323066224279,6.35894368576109,6.78450478780544,21.3348634466275,6.04292637169157,6.47054323844555,6.40674824022461,28.4676659826919,5.89761456535049,0
118,4.91997217761811,5.33364759305924,5.4986428127308,6.23040271233956,33.5055395396343,5.07810796084532,5.03354336047623,5.5673580395643,23.8574311009065,4.97535470282565,4
119,5.69816421896692,5.98562246886586,5.84409476074343,25.7398360133329,5.79047596164895,5.36024638617282,6.20956144248178,5.68862590419201,27.6463326957558,6.03704014783956,3
120,6.01890525683652,6.3453743029854,6.1377607545716,8.06162689684695,23.7796894779338,6.14408027156991,6.3837976091222,6.26501925922123,24.5375068000939,6.32623937081854,0
121,5.69665953780288,5.98466086921837,6.00562040345431,6.2847329180817,19.5206823602095,5.71812782860834,6.89148712064695,6.55094015349815,31.6741206296024,5.67296817887748,0
122,6.15696831506076,6.14871108822348,6.12577414552929,6.5147416833978,28.698463523826,6.09874751053154,6.40509923373751,6.56550655472039,21.3494728567977,5.93651508817551,4
123,4.71621578652637,5.07922443874926,5.6238317782498,5.51398755605302,14.5355027877199,4.78776175729159,5.87385574804796,5.48981680231202,43.5007253831934,4.87907796185664,2
124,6.09263413993714,6.39479245869243,6.47630129604421,6.82125500356047,24.0353978549933,6.17570789341575,6.19250573629865,6.54446156720613,25.207284714811,6.05965933504098,0
125,5.80790948461747,5.98156458605293,6.11186049946474,6.33304218632136,23.1772815427945,5.67927700706504,6.15130777156078,6.17743658939196,28.8259444894563,5.75437584327495,0
126,5.04477647977591,5.52799532956099,5.78081700824434,5.71804577912064,17.2227611507122,4.77511024143465,5.91963233630903,5.82285246575995,39.1431041693147,5.04490503976764,2
127,6.10396941382234,6.33603769886527,6.13552413154022,6.69138374248979,19.6725394302527,5.69783391597536,6.52929672801321,6.48084745069986,30.2823017774801,6.0702657108611,0
128,5.90830310048243,5.99201725787223,6.31369612291133,6.45069904976506,23.8534542627872,6.03407428418593,6.39898017382274,6.24286239207611,26.8112118009755,5.99470155512143,0
