,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Class,Entity,Book
172,8.56933420104845,9.3513991594823,8.36936447370467,8.4822840451977,8.99550976032261,8.95968856846408,19.5173711925339,8.73266023610409,8.73440890584326,10.2879794572989,3,aunt,Harry Potter and the Order of the Phoenix - J. K. Rowling
173,8.74465940165711,9.56113908093817,8.59517002596924,8.510247990105,8.45747307411464,8.82158543945199,15.6510786152179,8.96751251838972,8.57487766194387,14.1162561922124,9,great,Harry Potter and the Prisoner of Azkaban - J. K. Rowling
174,8.52462582072265,9.28658053224636,8.6374993833493,8.357438805302,8.68593894258557,9.19144859873276,19.6589510763813,8.58575083513418,8.48380970447411,10.5879563010718,3,hogsmeade,Harry Potter and the Deathly Hallows - J. K. Rowling
175,8.4349643205234,9.73364556472972,8.84616309599876,8.65283246671863,8.45302414825389,9.48087369731013,15.6367403532761,8.69219108122245,8.9048769826943,13.1646882892727,9,james,Harry Potter and the Prisoner of Azkaban - J. K. Rowling
176,8.48440410608801,9.74730666066683,8.87247176887296,8.40994073115198,8.57295759515338,9.8476014985336,17.6244818084686,8.70243052124446,8.74184740085021,10.99655790897,1,against,Harry Potter and the Half-Blood Prince - J. K. Rowling
177,8.33455988715479,9.29813321644137,8.45391665868086,8.46161481805281,8.57855631292357,9.89274383045047,19.0945184241518,8.77255580832605,8.4216294125375,10.6917716312808,3,horace,Harry Potter and the Half-Blood Prince - J. K. Rowling
178,8.69980873448283,9.70426245684255,8.69324077976482,8.66711772563901,8.84232864020272,8.88923872485085,18.4210889333576,8.72330223228908,8.80712069096568,10.5524910816049,8,hogwarts,Harry Potter and the Order of the Phoenix - J. K. Rowling
179,8.81276263334822,9.21103567548622,8.4598818102094,8.51699396319525,8.39143514920228,8.9932531913359,18.9613459921012,8.96559847457804,8.87773250690321,10.8099606036403,8,charlie,Harry Potter and the Goblet of Fire - J. K. Rowling
180,7.776613271967,8.98148258940406,8.27809343093619,7.90160522230091,7.93397925001722,8.6491369536482,21.08327796345,8.43390725875356,8.16283504466174,12.7990690148611,0,weasley,Harry Potter and the Order of the Phoenix - J. K. Rowling
181,8.41559070632055,9.42824322830823,8.51464422047126,8.31184933586232,8.47252882059521,8.86127772149452,19.3161651988362,8.68746507749048,8.57379689611902,11.4184387945022,6,ron,Harry Potter and the Order of the Phoenix - J. K. Rowling
182,8.81850365778217,9.45384621047577,9.03190572628086,8.56962135398304,8.68366958570074,8.81717836995317,18.7855702155265,8.95742530647102,8.36064169771426,10.5216378761125,8,black,Harry Potter and the Deathly Hallows - J. K. Rowling
183,8.60477449995781,11.7692737698054,8.60591819961699,8.49474064648863,8.48515331833118,9.05353538625074,15.8942389423744,8.74913228703095,8.68153960847833,11.6616933416656,4,ron,Harry Potter and the Sorcerer's Stone - J. K. Rowling
184,8.34023521371354,9.40703243893197,9.08724243538673,8.42305453928688,8.59871985626117,8.90808544944949,19.8032047155164,8.64602921779183,8.74861484044276,10.0377812932192,3,grimmauld,Harry Potter and the Order of the Phoenix - J. K. Rowling
185,8.4073994896887,11.4056778595699,8.6041766795875,8.16358501823334,8.33450384332561,8.87745351615991,17.1992935675888,8.56916241286795,8.5606400600743,11.878107552904,5,hogwarts,Harry Potter and the Sorcerer's Stone - J. K. Rowling
